time,mac,id,lat,long,board
1478098174,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,huron
1478098175,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,huron
1478098177,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,huron
1478098179,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,huron
1478098181,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,huron
1478098182,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,huron
1478098183,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,huron
1478098185,00-17-0d-00-00-58-e9-ca,10,48.84205,2.38443,huron
1478098189,00-17-0d-00-00-38-00-63,10,48.84202,2.3845,huron
1478098190,00-17-0d-00-00-58-f9-c4,10,48.84197,2.38434,huron
1478098191,00-17-0d-00-00-58-eb-67,10,48.84192,2.3844,huron
1478098212,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,huron
1478098250,00-17-0d-00-00-58-eb-67,11,48.84192,2.3844,huron
1478098260,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,huron
1478098274,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,huron
1478098285,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,huron
1478098304,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,huron
1478098305,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,huron
1478098311,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,huron
1483703527,00-17-0d-00-00-38-06-c9,22,48.84204,2.384543,huron
1484583956,00-17-0d-00-00-58-f5-23,2,48.84199,2.38449,DC9003A-B
1484584046,00-17-0d-00-00-58-eb-64,12,48.8419,2.38424,DC9003A-B
1484584129,00-17-0d-00-00-58-f9-c4,17,48.84197,2.38434,DC9003A-B
1485334756,00-17-0d-00-00-58-f5-58,2,48.84176,2.3843,DC9003A-B
1485334762,00-17-0d-00-00-58-f4-f8,3,48.84202,2.3844,DC9003A-B
1485334764,00-17-0d-00-00-58-eb-67,4,48.84192,2.3844,DC9003A-B
1485334766,00-17-0d-00-00-58-f5-3c,5,48.84195,2.38442,DC9003A-B
1485334772,00-17-0d-00-00-58-e9-cb,6,48.84198,2.38429,DC9003A-B
1485334833,00-17-0d-00-00-58-eb-64,7,48.8419,2.38424,DC9003A-B
1485334834,00-17-0d-00-00-58-f8-8f,8,48.84195,2.38446,DC9003A-B
1485334846,00-17-0d-00-00-58-f9-c4,9,48.84197,2.38434,DC9003A-B
1485334849,00-17-0d-00-00-58-eb-5b,10,48.84202,2.38431,DC9003A-B
1485334856,00-17-0d-00-00-58-f5-23,11,48.84199,2.38449,DC9003A-B
1485334894,00-17-0d-00-00-58-e9-ca,12,48.84205,2.38443,DC9003A-B
1485334944,00-17-0d-00-00-58-f3-17,13,48.84186,2.38441,DC9003A-B
1485370866,00-17-0d-00-00-38-03-dd,14,48.84202,2.3845,huron
1487758340,00-17-0d-00-00-58-f8-78,15,48.8419,2.3845,DC9003A-B
1487758469,00-17-0d-00-00-58-f8-63,16,48.84182,2.38444,DC9003A-B
1478096679,00-17-0d-00-00-58-f4-f8,2,48.84202,2.3844,huron
1478096683,00-17-0d-00-00-58-f5-23,3,48.84199,2.38449,huron
1478096685,00-17-0d-00-00-38-04-25,4,48.84206,2.3843,huron
1478096686,00-17-0d-00-00-58-eb-5b,6,48.84202,2.38431,huron
1478096687,00-17-0d-00-00-38-00-63,8,48.84202,2.3845,huron
1478096689,00-17-0d-00-00-58-f8-8f,8,48.84197,2.38448,huron
1478096693,00-17-0d-00-00-38-03-dd,8,48.84202,2.3845,huron
1478096701,00-17-0d-00-00-58-eb-67,8,48.84192,2.3844,huron
1478096713,00-17-0d-00-00-58-f5-3c,9,48.84195,2.38442,huron
1478096720,00-17-0d-00-00-58-f5-58,10,48.84185,2.38435,huron
1478096733,00-17-0d-00-00-58-f3-17,11,48.84189,2.38443,huron
1478096803,00-17-0d-00-00-58-eb-64,12,48.8419,2.38424,huron
1478096807,00-17-0d-00-00-38-00-63,13,48.84202,2.3845,huron
1478096809,00-17-0d-00-00-58-f8-8f,14,48.84197,2.38448,huron
1478096815,00-17-0d-00-00-38-03-dd,15,48.84202,2.3845,huron
